,name,times,country,raiting,link_name,text_all
63,Itsbestkeptquiet,18 дек. 2020 г.,GB,1 звезда: Плохо,McDonald’s northfield in Birmingham is…,"McDonald’s northfield in Birmingham is shocking with the orders on Deliveroo, just eat and Uber eats the wait times are horrendous waiting like 1 hour and half for a driver"
64,Lexy,18 дек. 2020 г.,US,5 звезд: Замечательно,Parapapapa,"Parapapapa, I`m lovin it!"
65,Bishop,15 дек. 2020 г.,GB,4 звезды: Отлично,Who dont like their burgers,Who dont like their burgers? Cola sometimes taste like water but burgers are always fine
66,tatemcrae,14 дек. 2020 г.,GB,5 звезд: Замечательно,perfection,"I rate this community something/100 my personal opinion on this establishment is 100/100 my 20 chicken nuggets, perfection 😃"
67,colin lewis,13 дек. 2020 г.,GB,5 звезд: Замечательно,Loving the app deals,Loving the app deals. Loving the double quarter too. Coffee is always tasty and hot
68,Alvah Hyatt,8 дек. 2020 г.,US,4 звезды: Отлично,Big Mac is great!,Big Mac is good and huge and I love it! It's just the fries are sometimes soggy.
69,Heather,8 дек. 2020 г.,US,5 звезд: Замечательно,Big Mac is great,Big Mac is great. Fries are sometimes great and sometimes terrible depending on how old the oil is that they use to fry. The employees are terrible lazy rude and all have an attitude. You all know
70,mbrakes23,6 дек. 2020 г.,US,1 звезда: Плохо,RUDE customer service,"I tried to find a screwdriver to unscrew the screws on their happy meal toys. They are triangle head. Walmart doesn't have them, Lowes doesn't have them, Home Depot doesn't have them, Harbor Freight Tools doesn't have them. My local McDonalds has no idea where to get one. The manager had no idea. I called Customer Service. This is what the complaint is for...

The representative told me they are made by an outside company. I asked if there was anywhere to find out where I can get the screwdriver to remove the screws. He got RUDE, telling me ""I already told you, they are made by an outside company!"" Then HE HUNG UP ON ME! This is what passes as Customer SERVICE? Never in my life have I been treated so shabbily by somebody whose JOB it is to handle customer complaints and inquiries. I'll never eat at a McDonalds again. There are too many burger places out there to put up with THIS kind of rudeness from somebody whose JOB it is to answer customers' questions!"
71,Reviewer SuperD,5 дек. 2020 г.,US,5 звезд: Замечательно,Love the spicy machicken give me 2 of…,Love the spicy machicken give me 2 of those instead
72,Maria Stockfleth,4 дек. 2020 г.,DK,1 звезда: Плохо,McDonalds Horsens,"Jeg ville ønske, at I gad tjekke, om låget overhovedet sidder ordenligt fast på jeres sundae, før I afleverer den.
Jeg købte en sundae igår og da jeg ville løfte den op af papbeholderen smuttede den ud af mine hænder og landede på mit gulvtæppe, som så var smurt ind i is og syltetøj. Det er et forholdvis sart gulvtæppe og ikke det nemmeste at rengøre, hvilket resulterede i, at jeg har en kæmpe plet på gulvtæppet. Meget træls."
73,María Jesus Sánchez,3 дек. 2020 г.,ES,1 звезда: Плохо,En el de plaza de de Plaza de Armas de…,En el de plaza de de Plaza de Armas de Sevilla hay una cosa de 20 personas y una sola caja abierta. Porque sor celíaca que si no me había ido
74,Jesus Garcia,3 дек. 2020 г.,US,5 звезд: Замечательно,Man those burgers are tasty,Man those burgers are tasty. No matter what I do I come back to mcdonals. Good stuff. I know its bad for ya but just do more cardio and eat in moderation.
75,ManiacMan,28 нояб. 2020 г.,TH,4 звезды: Отлично,Expensive Quickly one of double…,Expensive Quickly one of double cheeseburger can't make me full. Anoter one please.
76,kion o líder,27 нояб. 2020 г.,BR,2 звезды: Ниже среднего,Péssimo atendimento,Horrível atendimento no mcdonalds Carrefour são Caetano só não dou menos estrelas Porque alguns atenderam bem porém na hora de receber os produtos nós pedimos refrigerante de laranja e a atendente nos entregou suco de laranja e ficava retrucando que aquilo era refri para a gente teve que pôr na boca para falar que era suco mesmo e a mulher ainda ficou retrucando enchendo o saco falando desculpa esfarrapada sente o cheiro refrigerante para mim ela foi insuportável
77,rafael mera,26 нояб. 2020 г.,MX,5 звезд: Замечательно,Comer y llevar,"He tenido la oportunidad de almorzar en MC Donalds y consumir junto con mi esposa un desayuno de luxe
Nos supo tan rico que pedimos otro para llevar a nuestros nietos"
78,arnie,26 нояб. 2020 г.,PH,5 звезд: Замечательно,watched your movie on netflix,watched your movie on netflix! and its amazing! it inspired me a lot. Thanks for that. P.S. I love your french fries and nuggets!
79,Bianca Lee Cliff,21 нояб. 2020 г.,US,5 звезд: Замечательно,I love Macs,"I love Macs, Food is always fresh and tasty. it’s bloody brilliant! I have never had a bad experience with the them. Staff always try to help as best as they can. The food is delicious"
80,Christina M.,21 нояб. 2020 г.,US,4 звезды: Отлично,Most of the time the experience is good...,Most of the time the experience is good. But I can't help saying that I received snacks that disappointed me a lot.
81,EdwardVicknair,19 нояб. 2020 г.,US,5 звезд: Замечательно,This place has my heart,This place has my heart. They offer best burgers in town. I'm just so over McDonald's on general.
82,Carsten,18 нояб. 2020 г.,DK,1 звезда: Плохо,Kører til McD i grenå og bestiller og…,"Kører til McD i grenå og bestiller og betaler for 2 cheeseburgers. Kommer hjem og der er kun 1 i posen!!

Hvor sbært kan det være at tælle til 2"
83,Robert Skinner,16 нояб. 2020 г.,US,4 звезды: Отлично,The food is delicious,
84,Philip Melton,14 нояб. 2020 г.,GB,2 звезды: Ниже среднего,What has happened?,"What has happened? Fries always cold, tea over stewed all for 30 second saving on time. Veggie options tasteless.
Stopped going to any branch a year ago due to these reasons, tried again Thursday still the same.
Used to get the best cup of tea around from MDs sadly not now."
85,Thomas Weathers,13 нояб. 2020 г.,US,3 звезды: Средне,Nice ambiance and the food is great,
86,Francisco,12 нояб. 2020 г.,US,4 звезды: Отлично,Delicious when you’re eating and then…,Delicious when you’re eating and then You feel like crap 10 min after. But the people that work there are terrible.
87,cwash,10 нояб. 2020 г.,MY,3 звезды: Средне,Unhealthy food that everybody likes,"Unhealthy food that everybody likes! Yeah so haven't been back in a while, not the best food and prices keep going up! Fix the website and delivery please!"
88,Susan,9 нояб. 2020 г.,DK,1 звезда: Плохо,Mc Frederiksværk,"Mc Frederiksværk
Fuld med fluer /no hygiene
Beskidt borde
Arrogant medarbejdere
Dårlig service
STAY AWAY"
89,- Marco Leandro,8 нояб. 2020 г.,PT,5 звезд: Замечательно,O serviço foi rápido e eficiente,O serviço foi rápido e eficiente. Colaboradores muito atenciosos.
90,JOseph Phillpotts,6 нояб. 2020 г.,GB,1 звезда: Плохо,Last week I went to McDonald’s for the…,Last week I went to McDonald’s for the first time. I got 1 Big Mac meal a box of chicken nuggets for my son and some chicken selects for my grumpy fat oaf of a husband jery. Jery didn’t want his because he is apparently diabetic ( i didn’t know that ). And he is a fat oaf. My child didn’t want them because he is also an annoying piece of crap. I had to eat every thing in under 5 minutes that gave me terrible hart burn and type 2 diabetes like jery. I woke up the next morning and I had draped in my bed and it went all orange.I now need anal surgery.
91,BunnyMuffins,4 нояб. 2020 г.,US,5 звезд: Замечательно,The GOAT of Fast Food,"Double Big Tasty, side of fries and chicken nuggets with Coke. My favourite fast food meal so far."
92,JW,3 нояб. 2020 г.,US,3 звезды: Средне,Pretty good,"Pretty good. I have been going there for 50 years, and its always fairly price, pretty good food. Byt dont eat every meal there."
93,Claude Dones,26 окт. 2020 г.,ES,4 звезды: Отлично,The food is delicious,"Estuve allí ayer, en el paseo marítimo de Fuengirola, pedí unas Doble Big Mac, no puedo subir fotos, pero nada que ver lo que te venden con lo que te sirven, ni tan siquiera similar, bajo uno de los panes y buscando se encontraban algunas tiritas de lechuga, salsa apenas perceptible, un pepinillo, decepcionante, realmente para no volver. Ellos están marcando su futuro"
94,Daniel Robles,23 окт. 2020 г.,PT,1 звезда: Плохо,Buen día solo quería comentar q hoy…,"Buen día solo quería comentar q hoy pase x Macdonalds de plaza madero Atanasio tzul a recoger un pedido de Uber eats y cuando llegue saludé con buenos días ala señorita q estaba despachando domicilios y no me respondió después de una larga espera le volví hablar y abusivamente me contestó q si quería q lo cancelara y se dió la vuelta , le hable al gerente y también prepotente solo me miró y se dió la vuelta y se fue lamentablemente tuve q informar al cliente del mal servicio y cancele la orden , deberían de sacar a esa gente q no quiere trabajar hay muchas personas q darían un exelente servicio"
95,Jeanette Thrane,22 окт. 2020 г.,,1 звезда: Плохо,Jeg bestiller en cheeseburger menu uden…,"Jeg bestiller en cheeseburger menu uden løg og pickles, da jeg efter 10 minutters venten 2 burger fyldt med løg så jeg beder dem lave dem om så jeg venter yderligere 10 minutter på 2 nye burger der så er fyldt med pickles og der er min tålmodighed sgu noget! Der kommer ikke uden så jeg vælger at sætte posen i jeres vindue og køre!!! Der er faktisk en grund til man bestiller uden!!!! I skylder mig for en mellem menu!!!"
96,Dennis Lund,20 окт. 2020 г.,DK,1 звезда: Плохо,McDonald's Frederikssund,"McDonald's Frederikssund.. virkelig dårlig oplevelse.
4 ud af 4 seneste besøg har resulteret i at jeg er kommet hjem med en pose med mangler. Alt fra happymeal legetøj til dressinger og tilbehør er glemt.. værsgo at spise resten af maden kold når man endelig har været oppe og hente det manglende og vender retur."
97,Jose Luis Guerra Peña,18 окт. 2020 г.,,1 звезда: Плохо,Malisima experiencia de hoy en McDonald ha…,"Mi experiencia de hoy en McDonald ha sido malísima...he hecho un pedido por globo al restaurante de Av de la albufera, Madrid y medio pedido ha llegado mal...y lo peor q hemos llamado 20 veces al restaurante y no ha contestado nadie...quien me devuelve ahora el dinero???"
98,Richard L Ernsting,16 окт. 2020 г.,,1 звезда: Плохо,I will say mcdonalds doesnt give a crap,I will say mcdonalds doesnt give a crap yes crap about there customers i went to one in puyallup wa around midnight ordered a number 3 after sitting in the drive thru for over 20mins when it was only 2 cars ahead of me but i order a number 3 and a large coffee. I finally get my stuff and i take a quick sip of coffee cold as ice im debating whether or not to go back thru and decided why be petty it was a.dollar grab my burger and take a nice bite out of it while im chewing it it kinda felt different i dont the texture wasent right but i really couldnt tell but i wanted to turn on my dome light and look and behold 2 raw meat patties i took a pic of it they might have threw it on the grill for 1 min and thats about it i see this and throw up in my car. Im pissed now call them and tell the manager or whoever answered the phone to tell the cook to come outside meet me at the door she rufuses i tell her what happenes she didnt say sorry no she said go back thru the line and we will replace it replace it the nerve the line is 8 cars longer then when i waited plus i got puke on me she wouldnt come bring me the money to the door because it was after hours but i watch a employee bring someone there food. Oh corporate worse i email them and said ill prove it cuz i got picks they said they will make sure this never happens again and will investigate it and get back to me this was on sept 23 2020 nothing till this day i say with grace efff mcdonalds
